,Câu hỏi,A,B,C,D,Câu trả lời đúng
368,368.webp,A,B,C,D,A
369,369.webp,A,B,C,D,D
370,370.webp,A,B,C,D,B
371,371.webp,A,B,C,D,C
372,372.webp,A,B,C,D,D
373,373.webp,A,B,C,D,A
374,374.webp,A,B,C,D,C
375,375.webp,A,B,C,D,D
376,376.webp,A,B,C,D,B
377,377.webp,A,B,C,D,C
378,378.webp,A,B,C,D,A
379,379.webp,A,B,C,D,D
380,380.webp,A,B,C,D,D
381,381.webp,A,B,C,D,A
382,382.webp,A,B,C,D,C
383,383.webp,A,B,C,D,B
384,384.webp,A,B,C,D,A
385,385.webp,A,B,C,D,C
386,386.webp,A,B,C,D,B
387,Thuật ngữ nào mô tả một loại tiền tệ kỹ thuật số phi tập trung?,Digital Gold,E-Money,Cryptocurrency (Tiền mã hóa),Fiat Money,C
388,"AI tạo sinh ra hình ảnh, văn bản dựa trên lời nhắc (prompt) được gọi là gì?",Adaptive AI,Narrow AI,Generative AI,Reactive AI,C
389,"""Phishing"" (Lừa đảo trực tuyến) trong an ninh mạng là hành vi gì?",Đặt mật khẩu mạnh,Giả mạo để đánh cắp thông tin cá nhân,Xóa bộ nhớ cache,Cài đặt tường lửa,B
390,"Trong phát triển web, ""Front-end"" chủ yếu chịu trách nhiệm cho phần nào của ứng dụng?",Cơ sở dữ liệu,Logic nghiệp vụ (Business Logic),Giao diện và trải nghiệm người dùng (UI/UX),Bảo mật máy chủ,C
391,"""Metaverse"" của Mark Zuckerberg được xây dựng dựa trên công nghệ nào là chính?",Máy tính lượng tử,Sinh học tổng hợp,Thực tế ảo (VR) và Thực tế tăng cường (AR),In 3D,C
392,Giao thức mạng nào chịu trách nhiệm dịch tên miền thành địa chỉ IP?,HTTP,FTP,DNS (Domain Name System),TCP/IP,C
393,Đơn vị tiền tệ nào được tạo ra đầu tiên và phổ biến nhất trong thế giới tiền mã hóa?,Ethereum,Dogecoin,Bitcoin,Ripple,C
394,"""Trăm hay không bằng tay...""",To,Quen,Dài,Đẹp,B
395,"""Ăn trộm quen tay, ngủ ngày quen...?""",Giường,Ngủ,Mắt,Gối,C
396,"""Nhất tự vi sư, bán tự vi...?",tính,Trùng,Khuẩn,Sư,D
397,Cái gì của bạn nhưng người khác dùng nhiều hơn bạn?,Tiền lương,Tên của bạn,Điện thoại,Giày dép,B
398,"Có 3 quả táo, bạn lấy 2, bạn có mấy quả?",1,2,3,5,B
399,"123,456 − 78,901 = ?","44,545","44,555","44,565","44,575",B
400,400.webp,30,40,50,60,A
401,Cầu vồng do hiện tượng gì tạo nên?,Khúc xạ ánh sáng,Phóng xạ,Sự đối lưu của không khí,Sóng âm trong không khí,A
402,Hãy chọn ra hai từ trái nghĩa nhau nhất?,Sự tự do,Sự phù phiếm,Sự trong trắng,Sự phi lý,B
403,Từ nào khác với các từ còn lại?,Xương đùi,Hàm dưới,Xương mác,Xương bánh chè,B
404,Từ nào có nghĩa gần nhất với từ THEO DÕI,Ra lệnh,Quan sát,Can thiệp,Xâm nhập,B
405,Trước 12 giờ trưa là bao nhiêu phút nếu trước đó 9 phút số phút này gấp hai lần số phút sau10 giờ sáng?,7 phút,17 phút,27 phút,37 phút,D
406,"Số nào sẽ là số tiếp theo của chuỗi số sau: 0, 1, 2, 4, 6, 9, 12, 16, ?",20,30,40,60,A
407,Số nào khác tính chất với các số còn lại?,9678,4572,3527,7768,C
408,"Ai là tác giả ""Hịch tướng sĩ"", kêu gọi toàn quân đoàn kết chống giặc Nguyên-Mông?",Trần Hưng Đạo,Cao Bá Quát,Đoàn Thị Điểm,Phan Bội Châu,A
409,"Vị vua triều Nguyễn chống Pháp, bị đày ra châu Phi, là ai?",Hàm Nghi,Trần Hưng Đạo,Nguyễn Huệ,Đào Duy Từ,A
410,Ngày mùng mấy tháng ba hằng năm diễn ra lễ hội Đền Hùng?,10,15,25,30,A
411,Ai là vị vua Tây Sơn từng cưới công chúa Lê Ngọc Hân?,Quang Trung,Nguyễn Ánh,Nguyễn Du,Hàm Nghi,A
412,Nhà thơ Nguyễn Đình Chiểu sinh ra và lớn lên tại địa phương nào?,Nam Định,Hà Nội,Bến Tre,Cà Mau,C
413,"Khi nhiệt độ tăng lên, muỗi sẽ:",Ở nguyên địa điểm đó,Di chuyển lên khu vực cao hơn,Di chuyển xuống khu vực thấp hơn,Cả 3 đáp án đều sai,B
414,"Trong số các hoạt động sau, các hoạt động nào giúp giảm nhẹ biến đổi khí hậu và tiết kiệm chi phí:",Tắt máy khi dừng đèn đỏ,Tắt các thiết bị điện khi ra khỏi phòng,Đi xe buýt,"Cả a, b và c",D
415,Địa danh núi Bà Đen thuộc tỉnh nào?,Tây Ninh,Hà Nam,Bắc Ninh,Hà Nội,A
416,Việt Nam là thành viên thứ bao nhiêu của Liên hợp quốc?,139,149,159,169,B
417,Đất nước nào là nơi tập trung các di tích văn hoá của người Inca?,Peru,Malaysia,Brazil,Mexico,A
418,Văn học của quốc gia nào được xem là cái nôi của nền văn học?,Pháp,Ý,Hy Lạp,Ấn Độ,C
419,Đường mòn Hồ Chí Minh có số hiệu là?,159,359,559,759,C
420,Ánh sáng từ Mặt trời tới trái đất mất bao nhiêu phút?,8 giây,8 phút,18 phút,80 phút,B
421,Bác Hồ tìm ra con đường cứu nước vào năm nào?,1911,1920,1921,1930,B
422,Ai là người tìm ra châu Mỹ?,Christopher Columbus,Ferdinand Magellan,Vasco da Gama,Marco Polo,A
423,Điệu nhảy tango xuất xứ từ đất nước nào?,Mexico,Argentina,Brazi,Chile,B
424,Hội liên hiệp châu Âu: EU là viết tắt của?,European Union,,,,A
425,Nguyên tố hoá học nào phong phú nhất trong vỏ trái đất,Heli,Oxi,Nito,Phospho,B
426,Ngày HS-SV Việt Nam là ngày bao nhiêu?,09/01,01/09,20/11,15/03,A
427,Tên tuổi của nhạc sỹ thiên tài Sô-panh gắn liền với loại nhạc cụ nào?,Piano,Violon,Organ,Guitar,A
428,"Tác giả của tác phẩm ""Bình Ngô đại cáo""?",Nguyễn Trãi,Lê Quý Đôn,Phan Bội Châu,Nguyễn Du,A
429,Hội liên hiệp châu Âu: EU là viết tắt của?,European Union,European United,Euro Union,European Unity,A
430,Nguyên tố hoá học nào phong phú nhất trong vỏ trái đất?,Ô-xy,Sắt,Silic,Nitơ,A
431,File có đuôi là .cdr được mở bằng chương trình phần mềm nào?,Adobe Illustrator,Corel Draw,AutoCAD,GIMP,B
432,Ban nhạc ABBA gồm mấy thành viên của đất nước nào?,"3 thành viên, Anh","4 thành viên, Na Uy","4 thành viên, Thụy Điển","5 thành viên, Đan Mạch",C
433,Nhà thờ Đức Bà Paris (Pháp) là sản phẩm tiêu biểu cho nghệ thuật kiến trúc gì?,Phục Hưng,La Mã,Baroque,Gothic,D
434,"What's the word opposites to ""Peace""?",Quiet,War,Harmony,Silence,B
435,Hệ số thập phân là phát minh của nước nào?,Trung Quốc,Hy Lạp,Ấn Độ,Ả Rập,C
436,Tích 10 số tự nhiên đầu tiên bằng bao nhiêu?,"3,628,800",1,10,0,D
437,Giác quan nào của con người bị tổn thương nặng nhất khi bị sét đánh?,Thị giác,Vị giác,Khứu giác,Thính giác,D
438,Động vật nào lớn nhất trái đất hiện nay?,Voi Châu Phi,Cá voi xanh,Cá nhà táng,Hươu cao cổ,B
439,Con sông nào chảy qua 10 nước và qua 3 thủ đô ở Châu Âu?,Sông Rhine,Sông Volga,Sông Danube,Sông Seine,C
440,Loại đá nào được hình thành từ xác động vật?,Đá bazan,Đá granite,Đá vôi,Đá thạch anh,C
441,Mạng Internet bắt đầu có từ năm nào?,1985,1975,Năm 1979,1991,C
442,Ai là tác giả của 9 bản giao hưởng là chính ngọn núi của nền âm nhạc?,Mozart,Bach,Chopin,Beethoven,D
443,Phim Cách mạng Việt Nam đầu tiên là phim gì?,Cánh đồng hoang,Vĩ tuyến 17 ngày và đêm,Chung một dòng sông,Bao giờ cho đến tháng Mười,C
444,Bác Hồ đã đưa ra lời kêu gọi toàn quốc kháng chiến vào năm nào?,1946,1945,1954,1930,A
445,Bộ phim ca nhạc có tên EVITA do diễn viên nào đóng vai nữ chính?,Meryl Streep,Barbra Streisand,Madonna,Julia Roberts,C
446,Thành phần hoá học chủ yếu của tro bếp là nguyên tố nào?,Phốt pho,Natri,Nitơ,Kali,D
447,An Nam Nhất Thống Chí là tên gọi khác của tác phẩm nào?,Đại Việt Sử Ký Toàn Thư,Lịch triều hiến chương loại chí,Hoàng Lê Nhất Thống Chí,Việt Nam sử lược,C
448,"Ngọn gió nào được nhà thơ Nguyễn Đình Thi viết trong bài thơ ""Đất nước""?",Gió Lào,Gió bấc,Heo may,Gió xuân,C
449,Nguyễn Du miêu tả Kim Trọng và Thuý Kiều cùng có một tư chất gì?,Xinh đẹp,Thông minh,Đa tài,Hiếu thảo,B
450,Nơi ra đời của Thế Vận Hội Olimpic?,Ý,Pháp,Hy Lạp,La Mã,C
451,Thể loại tranh nào được gọi là quốc họa của Trung Quốc?,Tranh sơn dầu,Tranh khắc gỗ,Tranh Thuỷ mặc,Tranh lụa,C
452,Cấu tạo cơ thể con người và bề mặt trái đất có gì giống nhau?,1/2 là nước,3/4 là nước,Cùng có khoáng chất,Có cùng nhiệt độ,B
453,"Tranh ""Đánh ghen"" là tranh thuộc thể loại tranh nào?",Hàng Trống,Kim Hoàng,Đông Hồ,Làng Sình,C
454,What are the different between «male» and «female»?,Number of letters,Spelling,Sound,"F, E (letters)",D
455,Nhà văn Hemingway đoạt giải Nobel với tác phẩm nào?,Chuông nguyện hồn ai,Giã từ vũ khí,Ông già và biển cả,Mặt trời vẫn mọc,C
456,Việt Nam bắt đầu bước vào thời kỳ đổi mới từ năm nào?,1975,1990,1980,1986,D
457,"Trong bài thơ ""Bên kia sông Đuống"" của Hoàng Cầm, nụ cười của những cô hàng xén được ví như điều gì?",Hoa đào nở,Ánh trăng rằm,Nắng hạ,Mùa thu toả nắng,D
458,"Cây gì cho chúng ta sô cô la, cây này được trồng nhiều nhất ở đâu?","Cây cà phê, tại Colombia","Cây ca cao, tại Brazil","Cây vani, tại Mexico","Cây mía, tại Cuba",B
459,"Trong các tỉnh: Hải Dương, Thái Bình, Nam Định, Quảng Ninh chỉ có tỉnh ... là không có bờ biển chạy qua.",Thái Bình,Nam Định,Quảng Ninh,Hải Dương,D
460,Phố Hàng Vải - Hà Nội ngày nay đang kinh doanh mặt hành gì là chủ yếu?,Vải may mặc,Tre (trúc),Đồ gốm,Tơ lụa,B
461,"Sau khi thụ phấn, noãn biến đổi thành gì?",Quả,Lá mầm,Bầu nhụy,Hạt,D
462,"Một người đứng trên mũi thuyền, cách mặt nước 1,5m; nước dâng lên 50cm. Hỏi, lúc này, người đó đứng cách mặt nước bao nhiêu cm?",200cm,100cm,50cm,150cm,D
463,Mặt Trời của thi ca Nga đã lặn mất rồi! là lời báo chí Nga đưa tin về sự qua đời của ai?,Lermontov,Tolstoy,Puskin,Chekhov,C
464,"Quốc hiệu đầu tiên của nước ta, tồn tại đến năm 258 trước công nguyên là gì?",Âu Lạc,Đại Việt,Đại Cồ Việt,Văn Lang,D
465,"Trong chiến dịch Điện Biên Phủ, người anh hùng nào đã lấy thân mình để cứu pháo?",Phan Đình Giót,Bế Văn Đàn,La Văn Cầu,Tô Vĩnh Diện,D
466,Hiện tượng biến đổi ở một hoặc vài cặp nhiễm sắc thể là loại đột biến gì?,Đột biến gen,Đột biến đa bội,Đột biến Dị bội,Đột biến cấu trúc,C
467,Vùng đất đai chịu ảnh hưởng của hệ thống sông ngòi chảy qua gọi là gì?,Lòng sông,Vùng ven sông,Thượng nguồn,Lưu vực,D
468,Bộ phận nào trên cơ thể thằn lằn có khả năng mọc lại?,Chân,Mắt,Da,Đuôi,D
469,Nhấn phím Caps Lock trên bàn phím máy tính trước rồi soạn thảo văn bản thì chữ sẽ hiển thị như thế nào?,Chữ in thường,Chữ hoa đầu câu,Tất cả đều là chữ in hoa,Chữ in đậm,C
470,Bác Hồ đã đưa ra lời kêu gọi toàn quốc kháng chiến vào năm nào?,1946,1945,1954,1930,A
471,Sắt thể hiện hoá trị mấy khi tham gia phản ứng với Acid Nitric đặc?,2,1,4,3,D
472,Vĩ tuyến 17 chạy ngang qua địa phận tỉnh nào của nước ta?,Thừa Thiên Huế,Quảng Bình,Đà Nẵng,Quảng Trị,D
473,Quan hệ giữa các con sói trong bầy sói là dạng quan hệ gì?,Cạnh tranh,Sinh vật ăn thịt,Kí sinh,Hỗ trợ (cùng loài),D
474,"Khi bị ong đốt, người ta thường dùng vôi để bôi vào vết thương. Tại đó xảy ra loại phản ứng hóa học nào?",Phản ứng oxi hóa khử,Phản ứng trao đổi,Phản ứng phân hủy,Trung hòa giữa axit và bazo,D
475,"Ra đời năm 1952 và được sử dụng phổ biến trong chiến dịch Điện Biên phủ, dụng cụ nấu ăn này được mang tên người chế tạo ra nó. Đó là công cụ nào?",Bếp dầu,Bếp củi,Lò than,Bếp Hoàng Cầm,D
476,Hệ Mặt trời của chúng ta nằm trong thiên hà nào?,Thiên hà Tiên Nữ,Đám mây Magellan,Thiên hà Tam Giác,Dải Ngân hà,D
477,Đường thẳng đồng qui chia mặt phẳng ra làm mấy phần?,4 phần,6 phần,8 phần,7 phần,D
478,“Trái tim lầm lỡ để trên đầu/ Nỏ thần vô ý trao tay giặc” là những lời nhà thơ Tố Hữu viết về ai?,An Dương Vương,Trọng Thủy,Nhân vật Mị Châu,Triệu Thị Trinh,C
479,Độ cong của thuỷ tinh thể có thể thay đổi được là nhờ sự co giãn của cơ nào ở mắt?,Cơ tròn,Cơ dọc,Cơ thẳng,Cơ vòng,D
480,"Cơ quan nào trong cơ thể người nằm ở dưới cơ hoành, hơi nghiêng về bên trái trong ổ bụng?",Gan,Lách,Thận,Dạ dày,D
481,"Trên các bản đồ thế giới cổ xưa, người ta thường ghi tên vị thần nào?",Thần Dớt,Thần Poseidon,Thần Atlat,Thần Apollo,C
482,"Trong tên viết tắt của Tổ chức các nước Xuất khẩu Dầu mỏ OPEC, chữ O là viết tắt của từ gì?",Oil,Output,Organization,Origin,C
483,Con muỗi hút máu ngư­ời và loài vật để làm gì?,Để lấy năng lượng,Để chống rét,Để bảo vệ tổ,Để nuôi trứng,D
484,Đợt rét muộn cuối cùng vào tháng ba ở miền Bắc gọi là gì?,Rét lộc,Rét hoa,Rét Nàng Bân,Rét cuối mùa,C
485,Đẻ đất đẻ nước là pho sử thi của dân tộc nào?,Thái,Dao,Kinh,Mường,D
486,Tổng thống nước nào ở Đông Nam Á hiện nay là phụ nữ?,Indonesia,Thái Lan,Myanmar,Philipin,D
487,Người thầy nào khi mất đi đã được học trò tôn xưng là Tuyết giang phu tử?,Chu Văn An,Nguyễn Bỉnh Khiêm,Lê Quý Đôn,Phan Huy Chú,B
488,"Đại dương nào giáp các châu Á, Mỹ, và Đại Dương?",Đại Tây Dương,Ấn Độ Dương,Bắc Băng Dương,Thái Bình Dương,D
489,"Vì bộ xương hình ống rỗng, chứa đầy không khí nên chúng biết trước sự thay đổi thời tiết ở các vùng biển. Đó là loài chim nào?",Chim cánh cụt,Chim bồ nông,Chim én,Hải âu,D
490,Trong một tam giác có tổng hai góc bằng góc còn lại thì đó là tam giác gì?,Tam giác đều,Tam giác cân,Tam giác tù,Tam giác vuông,D
491,Tác phẩm Tụng giá hoàn kinh sư ra đời sau khi cuộc kháng chiến nào của dân tộc ta thắng lợi?,Chống Tống,Chống Minh,Chống xâm lược Nguyên Mông lần thứ hai,Chống Pháp,C
492,Ai là người được tặng Huân chương Sao Vàng đầu tiên ở nước ta?,Võ Nguyên Giáp,Lê Duẩn,Chủ tịch Tôn Đức Thắng,Phạm Văn Đồng,C
493,"Từ các số 2, 3, 7, 8 có thể thành lập được bao nhiêu số chính phương có ba chữ số?",4 số,1 số,2 số,Không có số nào,D
494,Đảo này là tên ghép của cụm từ “Tri Châu” và “Linh Tuần” tạo thành?,Đảo Cát Bà,Đảo Cô Tô,Đảo Hòn Tre,Đảo Tuần Châu,D
495,Đội bóng nào vô địch V-League năm 2005?,Hoàng Anh Gia Lai,Thể Công,Hải Phòng,Gạch Đồng Tâm Long An,D
496,Nhà văn Hemingway đoạt giải Nobel với tác phẩm nào?,Chuông nguyện hồn ai,Giã từ vũ khí,Ông già và biển cả,Mặt trời vẫn mọc,C
497,Nhà thờ nào lớn nhất miền Bắc nước ta?,Nhà thờ Lớn Hà Nội,Nhà thờ đá Sa Pa,Nhà thờ Phát Diệm (Ninh Bình),Nhà thờ Bùi Chu,C
498,Loại hình sân khấu cải lương có nguồn gốc ở miền nào?,Miền Bắc,Miền Trung,Tây Nguyên,Nam Bộ (Tây Nam Bộ),D
499,Ngôi đền Angkor Wat nổi tiếng thuộc quốc gia nào ở Đông Nam Á?,Thái Lan,Indonesia,Campuchia,Malaysia,C
500,Bộ phận nào của thực vật chịu trách nhiệm chính trong quá trình quang hợp?,Rễ,Thân,Hoa,Lá,D
501,"Trong bóng đá, cầu thủ nào giữ kỷ lục ghi nhiều bàn thắng nhất tại World Cup?",Pelé,Miroslav Klose,Ronaldo (Brazil),Lionel Messi,D
502,"Lãnh địa nào được mệnh danh là ""Xứ sở Mặt Trời Mọc""?",Hàn Quốc,Trung Quốc,Thái Lan,Nhật Bản,D
503,Đơn vị đo tần số (Frequency) trong hệ đo lường quốc tế (SI) là gì?,Ohm,Volt,Hertz,Watt,C
504,Ai là vị vua cuối cùng của triều đại phong kiến Việt Nam?,Khải Định,Đồng Khánh,Bảo Đại,Duy Tân,C
505,Thành phần hóa học chính cấu tạo nên kim cương là gì?,Silicon,Sắt,Đồng,Carbon,D
506,"Trong tác phẩm Truyện Kiều của Nguyễn Du, Thúy Kiều bán mình cho ai?",Mã Giám Sinh,Sở Khanh,Mã Giám Sinh,Hồ Tôn Hiến,C
507,Bảy kỳ quan thế giới cổ đại còn tồn tại duy nhất công trình nào?,Vườn treo Babylon,Tượng thần Zeus,Kim tự tháp Giza,Hải đăng Alexandria,C
508,Loại mây nào thường gây ra mưa rào và dông lớn?,Mây tầng,Mây ti,Mây tích,Mây vũ tích (Cumulonimbus),D
509,Đại dương nào có diện tích và độ sâu nhỏ nhất trên thế giới?,Đại Tây Dương,Ấn Độ Dương,Bắc Băng Dương,Thái Bình Dương,C
510,Võ Nguyên Giáp được phong hàm Đại tướng vào năm nào?,1946,1948,1950,1954,B
511,"Loại hình nghệ thuật nào được gọi là ""Quốc hồn Quốc túy"" của Hàn Quốc?",K-Pop,Điện ảnh,Kịch,Taekwondo,D
512,"Tỉnh thành nào ở Việt Nam có tên gọi bắt nguồn từ chữ ""Long"" (Rồng)?",Huế,Đà Nẵng,Hà Nội,Hải Phòng,C
513,Sơn Tinh Thủy Tinh là truyền thuyết liên quan đến tỉnh nào?,Hà Nội,Phú Thọ,Phú Thọ,Vĩnh Phúc,C
514,"Hành tinh nào trong hệ Mặt Trời được mệnh danh là ""Hành tinh Đỏ""?",Sao Kim,Sao Mộc,Sao Thổ,Sao Hỏa,D
515,Đơn vị tiền tệ chính thức của Liên minh Châu Âu là gì?,Bảng Anh,Yên,Đô la Mỹ,Euro,D
516,Hồ Gươm ở Hà Nội còn có tên gọi khác là gì?,Hồ Tây,Hồ Trúc Bạch,Hồ Hoàn Kiếm,Hồ Bảy Mẫu,C
517,Ngôn ngữ nào là ngôn ngữ chính thức tại Brazil?,Tây Ban Nha,Ý,Bồ Đào Nha,Pháp,C
518,Bộ luật Hồng Đức là bộ luật nổi tiếng dưới triều đại nào của Việt Nam?,Lý,Trần,Lê sơ,Nguyễn,C
519,Hiện tượng nhật thực xảy ra khi vật thể nào che khuất ánh sáng Mặt Trời?,Trái Đất,Sao Kim,Mặt Trăng,Sao Hỏa,C
520,Giải thưởng âm nhạc danh giá nhất của Mỹ được gọi là gì?,Emmy,Oscar,Tony,Grammy,D
521,"Nhà thơ nào có biệt danh là ""Bà chúa thơ Nôm""?",Hồ Xuân Hương,Đoàn Thị Điểm,Sương Nguyệt Anh,Hồ Xuân Hương,A
522,Loại hình vận chuyển hàng hóa nào chiếm tỉ trọng lớn nhất về khối lượng trên thế giới?,Đường hàng không,Đường bộ,Đường biển,Đường sắt,C
523,Tỉnh thành nào của Việt Nam nổi tiếng với lễ hội Cà phê Buôn Ma Thuột?,Lâm Đồng,Gia Lai,Đắk Lắk,Kon Tum,C
524,Loài động vật có vú nào biết bay?,Dơi,Chim cánh cụt,Chim ruồi,Dơi,A
525,Sự kiện lịch sử nào được coi là dấu mốc chấm dứt Chiến tranh Lạnh?,Xây dựng bức tường Berlin,Khủng hoảng tên lửa Cuba,Bức tường Berlin sụp đổ,Chiến tranh Việt Nam kết thúc,C
526,"Trong lĩnh vực nhiếp ảnh, từ viết tắt ISO dùng để chỉ gì?",Độ phân giải,Khẩu độ,Tốc độ màn trập,Độ nhạy sáng,D
527,"Sông nào được coi là ""sông mẹ"" của nền văn minh Ai Cập cổ đại?",Sông Tigris,Sông Ơ-phrát,Sông Nile,Sông Amazon,C
528,Vị tướng nào nổi tiếng với chiến thuật đánh bại quân Thanh vào năm 1789?,Ngô Quyền,Trần Hưng Đạo,Quang Trung (Nguyễn Huệ),Lý Thường Kiệt,C
529,Bộ phim hoạt hình nào của Disney giới thiệu nàng công chúa da màu đầu tiên?,Pocahontas,Mulan,Công chúa và chàng ếch (The Princess and the Frog),Moana,C
530,Khí hậu ôn đới hải dương chủ yếu được tìm thấy ở khu vực nào?,Vùng cực,Vùng xích đạo,Vùng ven biển Tây Âu,Vùng nội địa Châu Á,C
531,Thành phố nào được coi là trung tâm tài chính lớn nhất thế giới?,London,Tokyo,Thượng Hải,New York,D
532,Nhà soạn nhạc nổi tiếng người Áo Wolfgang Amadeus Mozart mất ở tuổi bao nhiêu?,45,56,32,35,D
533,"Bác Hồ đã viết tác phẩm ""Nhật ký trong tù"" bằng chữ gì?",Tiếng Việt,Tiếng Pháp,Chữ Hán,Chữ Quốc ngữ,C
534,Nguyên tố hóa học nào có kí hiệu là Au?,Bạc,Đồng,Sắt,Vàng,D
535,"Cấu trúc địa lý nào được gọi là ""Vành đai lửa Thái Bình Dương""?",Chuỗi núi lửa hoạt động,Vùng có độ ẩm cao,Khu vực hoang mạc,Vùng có nhiều động đất và núi lửa,D
536,"Trong tam đoạn luận của Aristotle, đâu là thành phần thứ ba (kết luận)?",Tiền đề lớn,Tiền đề nhỏ,Giả thuyết,Kết luận,D
537,Quần đảo Trường Sa và Hoàng Sa thuộc chủ quyền của quốc gia nào?,Trung Quốc,Philippines,Malaysia,Việt Nam,D
538,Bộ phim đoạt giải Oscar năm 2020 là phim nào?,1917,Joker,Ký sinh trùng,Ký sinh trùng (Parasite),D
539,Môn thể thao nào lần đầu tiên được đưa vào Thế vận hội Mùa hè 2020 (tổ chức năm 2021)?,Bơi nghệ thuật,Cưỡi ngựa,Karate,Bóng ném,C
540,Công trình kiến trúc nào được coi là biểu tượng của thời đại La Mã cổ đại?,Parthenon,Kim tự tháp,Tháp Eiffel,Đấu trường La Mã (Colosseum),D
541,Loài cây lương thực nào được trồng phổ biến nhất trên thế giới?,Lúa mì,Ngô,Khoai tây,Lúa gạo,D
542,Thuật ngữ IoT viết tắt của cụm từ nào?,Internet of Time,Internet of Threads,Internet of Things,Internal Office Technology,C
543,Ngôn ngữ lập trình nào được sử dụng phổ biến nhất để phát triển các ứng dụng Android gốc?,Python,Swift,C++,Java (hoặc Kotlin),D
544,CPU trong máy tính là viết tắt của cụm từ nào?,Central Power Unit,Custom Processing Utility,Computer Program Unit,Central Processing Unit,D
545,"Chip xử lý đầu tiên trên thế giới, Intel 4004, được phát hành vào năm nào?",1965,1971,1981,1990,B
546,Công nghệ 5G sử dụng tần số vô tuyến nào để truyền dữ liệu nhanh hơn 4G?,Low-band,Mid-band,High-band (mmWave),Tất cả các loại trên,D
547,Công cụ tìm kiếm nào được ra mắt sớm nhất?,Google,Yahoo!,Bing,Archie,D
548,Ngôn ngữ nào được sử dụng phổ biến để truy vấn và thao tác cơ sở dữ liệu?,HTML,CSS,Java,SQL,D
549,Moore's Law (Định luật Moore) dự đoán điều gì?,Tốc độ mạng tăng gấp đôi mỗi năm,Số lượng transistor trên chip tăng gấp đôi sau mỗi 2 năm,Giá máy tính giảm,Độ phân giải màn hình tăng,B
550,"Trong lĩnh vực in 3D, loại vật liệu nào được sử dụng phổ biến nhất?",Kim loại lỏng,Gốm sứ,Thủy tinh,"Polyme nhựa (PLA, ABS)",D
551,DNS (Domain Name System) có vai trò gì?,Mã hóa dữ liệu,Cung cấp địa chỉ IP,Dịch tên miền sang địa chỉ IP,Kiểm tra lỗi mạng,C
552,Đồng hồ thông minh (Smartwatch) là một ví dụ của thiết bị thuộc lĩnh vực nào?,Big Data,Cloud Computing,Wearable Technology,Robotics,C
553,Thuật ngữ nào chỉ một phiên bản thử nghiệm sớm của phần mềm?,Stable Release,RC (Release Candidate),Beta,Alpha,C
554,VPN (Virtual Private Network) được sử dụng để làm gì?,Tải xuống nhanh hơn,Cập nhật hệ điều hành,Tạo kết nối mạng riêng an toàn qua internet công cộng,Phát hiện virus,C
555,Cổng kết nối nào thường được sử dụng để truyền tín hiệu video và âm thanh chất lượng cao?,VGA,USB-C,DisplayPort,HDMI,D
556,Turing Test là một phương pháp dùng để đánh giá khả năng gì?,Độ bền của máy tính,Tốc độ xử lý của chip,Trí thông minh của máy móc,Tốc độ kết nối mạng,C
557,Ngôn ngữ đánh dấu nào được sử dụng để tạo cấu trúc cho các trang web?,CSS,JavaScript,Python,HTML,D
558,Điện toán đám mây (Cloud Computing) cung cấp dịch vụ IaaS (Infrastructure as a Service) dưới dạng gì?,Phần mềm ứng dụng,Nền tảng phát triển,"Cơ sở hạ tầng (máy chủ, lưu trữ)",Bảo mật mạng,C
559,Công ty nào đã phát triển và quản lý hệ thống cơ sở dữ liệu Oracle?,Microsoft,IBM,Google,Oracle,D
560,Công nghệ nào được dùng để lấy mật khẩu bằng cách thử tất cả các chuỗi ký tự có thể?,SQL Injection,Denial-of-Service,Brute-Force Attack,Keylogging,C
561,Phần mềm mã nguồn mở (Open Source) có đặc điểm nổi bật là gì?,Miễn phí hoàn toàn,Tốc độ cao,Cho phép người dùng xem và chỉnh sửa mã nguồn,Chỉ có thể dùng trên Linux,C
562,Ngôn ngữ lập trình C++ là phiên bản mở rộng của ngôn ngữ nào?,Java,Python,C#,Ngôn ngữ C,D
563,"Trong thuật ngữ AI, Neural Network (Mạng thần kinh) mô phỏng cấu trúc nào?",Não bộ của côn trùng,Não bộ con người,Hệ thống thủy lực,Cấu trúc vật lý,B
564,Ngôn ngữ lập trình nào được mệnh danh là ngôn ngữ phổ biến nhất cho Khoa học Dữ liệu (Data Science) và Machine Learning?,Java,C#,Ruby,Python,D
565,JavaScript chủ yếu được sử dụng để làm gì?,Phát triển hệ điều hành,Xử lý cơ sở dữ liệu,Phát triển giao diện người dùng Web,Lập trình nhúng,C
566,Khái niệm OOP (Lập trình hướng đối tượng) là viết tắt của cụm từ nào?,Optimal Object Program,Open Operating Protocol,Object-Oriented Programming,Overloaded Online Processor,C
567,Ngôn ngữ nào được phát triển bởi Microsoft như một đối thủ cạnh tranh với Java?,C,C++,C#,Go,C
568,Ruby được biết đến với framework phát triển web nổi tiếng nào?,Django,Spring,Laravel,Ruby on Rails,D
569,SQL là ngôn ngữ tiêu chuẩn được dùng để làm gì?,Lập trình front-end,Lập trình game,Quản lý cơ sở dữ liệu quan hệ,Lập trình di động,C
570,HTML là một ngôn ngữ lập trình hay ngôn ngữ đánh dấu (Markup Language)?,Ngôn ngữ lập trình,Ngôn ngữ đánh dấu,Ngôn ngữ truy vấn,Ngôn ngữ nhúng,B
